"env","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M","T2M_MAX","T2M_MIN","PRECTOT","WS2M","RH2M","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","daysFromStart","DayLength"
"Sutherland 2016",-106.5054,52.1677,2016,7,31,213,2016-07-31,20.8,28.02,13.58,0.58,2.75,61.06,12.4,376.3,17.57,96,15.5590629653769
"Sutherland 2016",-106.5054,52.1677,2016,8,1,214,2016-08-01,18.21,22.51,11.83,0.26,5.53,58.5,9.51,346.09,18.38,97,15.5056614033094
"Sutherland 2016",-106.5054,52.1677,2016,8,2,215,2016-08-02,21.2,27.69,14.44,0,3.95,51.62,10.02,334.29,26.01,98,15.451563773427
"Sutherland 2016",-106.5054,52.1677,2016,8,3,216,2016-08-03,16.05,19.3,12.89,21.43,3.92,74.31,11.29,360.17,4.99,99,15.396797830711
"Sutherland 2016",-106.5054,52.1677,2016,8,4,217,2016-08-04,17.76,23.86,11.82,0.38,3.16,68.69,11.22,341.32,21.88,100,15.3413906460294
"Sutherland 2016",-106.5054,52.1677,2016,8,5,218,2016-08-05,19.31,25.38,12.84,0,1.34,57.69,10.1,331,24.77,101,15.2853685918146
"Sutherland 2016",-106.5054,52.1677,2016,8,6,219,2016-08-06,20.05,26.45,13,0,1.75,55.69,10.26,334.2,24.56,102,15.2287573308301
"Sutherland 2016",-106.5054,52.1677,2016,8,7,220,2016-08-07,19.11,23.58,13.69,2.35,3.2,71.12,13.44,369.22,13.12,103,15.171581807839
"Sutherland 2016",-106.5054,52.1677,2016,8,8,221,2016-08-08,17.76,20.12,16.01,16.65,2.61,88.38,15.78,375.65,6.09,104,15.1138662439923
"Sutherland 2016",-106.5054,52.1677,2016,8,9,222,2016-08-09,19.09,24.58,14.24,0.23,2.37,69.81,12.83,371.2,14.07,105,15.0556341337538
"Sutherland 2016",-106.5054,52.1677,2016,8,10,223,2016-08-10,16.08,19.78,12.46,3.27,3.31,79.06,12.31,377.91,8.82,106,14.9969082441833
"Sutherland 2016",-106.5054,52.1677,2016,8,11,224,2016-08-11,16.65,21.28,11.19,1.28,1.81,78.12,12.55,381.46,12.99,107,14.9377106164053
"Sutherland 2016",-106.5054,52.1677,2016,8,12,225,2016-08-12,18.28,23.36,12.49,2.42,2.16,72.25,12.76,364.01,17.55,108,14.8780625690922
"Sutherland 2016",-106.5054,52.1677,2016,8,13,226,2016-08-13,19.26,25.78,11.44,0,2.2,62.69,11.06,342.56,21.63,109,14.8179847038024
"Sutherland 2016",-106.5054,52.1677,2016,8,14,227,2016-08-14,21.44,27.81,15.7,0.23,1.51,56.44,11.85,360.46,22.14,110,14.7574969120135
"Sutherland 2016",-106.5054,52.1677,2016,8,15,228,2016-08-15,21.33,26.79,15.44,0.41,1.87,59.31,12.62,355.45,22.28,111,14.6966183837054
"Sutherland 2016",-106.5054,52.1677,2016,8,16,229,2016-08-16,21.84,28.29,14.37,0,1.52,57.5,12.5,352.4,23.19,112,14.6353676173476
"Sutherland 2016",-106.5054,52.1677,2016,8,17,230,2016-08-17,19.01,24.42,14.12,3.27,2.49,62.5,11.32,367.98,16.48,113,14.5737624311594
"Sutherland 2016",-106.5054,52.1677,2016,8,18,231,2016-08-18,15.93,21.81,10.2,0.1,4.12,59.75,7.58,325.78,18.34,114,14.511819975514
"Sutherland 2016",-106.5054,52.1677,2016,8,19,232,2016-08-19,14.27,19.92,9.19,0.06,2.68,59.94,5.8,337.23,17.16,115,14.4495567463695
