Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Sp16,"Cordoba, Spain",2016,2016-12-14,1:10:00,Weather Station,Temperature,C,6.5,1
Sp16,"Cordoba, Spain",2016,2016-12-15,8:40:00,Weather Station,Temperature,C,7.6,2
Sp16,"Cordoba, Spain",2016,2016-12-16,23:59:00,Weather Station,Temperature,C,6.7,3
Sp16,"Cordoba, Spain",2016,2016-12-17,8:20:00,Weather Station,Temperature,C,4.7,4
Sp16,"Cordoba, Spain",2016,2016-12-18,23:10:00,Weather Station,Temperature,C,7.2,5
Sp16,"Cordoba, Spain",2016,2016-12-19,4:30:00,Weather Station,Temperature,C,4.7,6
Sp16,"Cordoba, Spain",2016,2016-12-20,9:00:00,Weather Station,Temperature,C,2.2,7
Sp16,"Cordoba, Spain",2016,2016-12-21,7:40:00,Weather Station,Temperature,C,1.4,8
Sp16,"Cordoba, Spain",2016,2016-12-22,6:40:00,Weather Station,Temperature,C,2.2,9
Sp16,"Cordoba, Spain",2016,2016-12-23,7:20:00,Weather Station,Temperature,C,3.6,10
Sp16,"Cordoba, Spain",2016,2016-12-24,7:30:00,Weather Station,Temperature,C,3.6,11
Sp16,"Cordoba, Spain",2016,2016-12-25,5:10:00,Weather Station,Temperature,C,3.5,12
Sp16,"Cordoba, Spain",2016,2016-12-26,8:30:00,Weather Station,Temperature,C,1.4,13
Sp16,"Cordoba, Spain",2016,2016-12-27,7:20:00,Weather Station,Temperature,C,2,14
Sp16,"Cordoba, Spain",2016,2016-12-28,8:10:00,Weather Station,Temperature,C,2.5,15
Sp16,"Cordoba, Spain",2016,2016-12-29,8:40:00,Weather Station,Temperature,C,2.6,16
Sp16,"Cordoba, Spain",2016,2016-12-30,5:10:00,Weather Station,Temperature,C,1.9,17
Sp16,"Cordoba, Spain",2016,2016-12-31,8:00:00,Weather Station,Temperature,C,0,18
Sp16,"Cordoba, Spain",2016,2017-01-01,4:40:00,Weather Station,Temperature,C,1,19
Sp16,"Cordoba, Spain",2016,2017-01-02,2:00:00,Weather Station,Temperature,C,2.9,20
Sp16,"Cordoba, Spain",2016,2017-01-03,5:20:00,Weather Station,Temperature,C,4.2,21
Sp16,"Cordoba, Spain",2016,2017-01-04,4:00:00,Weather Station,Temperature,C,4.6,22
Sp16,"Cordoba, Spain",2016,2017-01-05,9:20:00,Weather Station,Temperature,C,4,23
Sp16,"Cordoba, Spain",2016,2017-01-06,8:50:00,Weather Station,Temperature,C,3.3,24
Sp16,"Cordoba, Spain",2016,2017-01-07,4:40:00,Weather Station,Temperature,C,2.9,25
Sp16,"Cordoba, Spain",2016,2017-01-08,7:40:00,Weather Station,Temperature,C,0.5,26
Sp16,"Cordoba, Spain",2016,2017-01-09,7:10:00,Weather Station,Temperature,C,-0.8,27
Sp16,"Cordoba, Spain",2016,2017-01-10,6:10:00,Weather Station,Temperature,C,-0.8,28
Sp16,"Cordoba, Spain",2016,2017-01-11,6:20:00,Weather Station,Temperature,C,1.7,29
Sp16,"Cordoba, Spain",2016,2017-01-12,8:50:00,Weather Station,Temperature,C,1.9,30
Sp16,"Cordoba, Spain",2016,2017-01-13,8:40:00,Weather Station,Temperature,C,0.8,31
Sp16,"Cordoba, Spain",2016,2017-01-14,8:30:00,Weather Station,Temperature,C,1,32
Sp16,"Cordoba, Spain",2016,2017-01-15,8:00:00,Weather Station,Temperature,C,-1.4,33
Sp16,"Cordoba, Spain",2016,2017-01-16,8:00:00,Weather Station,Temperature,C,-1.9,34
Sp16,"Cordoba, Spain",2016,2017-01-17,8:40:00,Weather Station,Temperature,C,-1.6,35
Sp16,"Cordoba, Spain",2016,2017-01-18,8:50:00,Weather Station,Temperature,C,-2.9,36
Sp16,"Cordoba, Spain",2016,2017-01-19,8:50:00,Weather Station,Temperature,C,3.9,37
Sp16,"Cordoba, Spain",2016,2017-01-20,23:50:00,Weather Station,Temperature,C,4.2,38
Sp16,"Cordoba, Spain",2016,2017-01-21,3:30:00,Weather Station,Temperature,C,0.1,39
Sp16,"Cordoba, Spain",2016,2017-01-22,8:40:00,Weather Station,Temperature,C,-1.5,40
Sp16,"Cordoba, Spain",2016,2017-01-23,7:20:00,Weather Station,Temperature,C,-1.8,41
Sp16,"Cordoba, Spain",2016,2017-01-24,8:40:00,Weather Station,Temperature,C,-2.3,42
Sp16,"Cordoba, Spain",2016,2017-01-25,7:00:00,Weather Station,Temperature,C,-2,43
Sp16,"Cordoba, Spain",2016,2017-01-26,2:00:00,Weather Station,Temperature,C,0.8,44
Sp16,"Cordoba, Spain",2016,2017-01-27,23:50:00,Weather Station,Temperature,C,6.2,45
Sp16,"Cordoba, Spain",2016,2017-01-28,8:00:00,Weather Station,Temperature,C,2.2,46
Sp16,"Cordoba, Spain",2016,2017-01-29,6:20:00,Weather Station,Temperature,C,6.5,47
Sp16,"Cordoba, Spain",2016,2017-01-30,6:40:00,Weather Station,Temperature,C,3.4,48
Sp16,"Cordoba, Spain",2016,2017-01-31,8:50:00,Weather Station,Temperature,C,3.8,49
Sp16,"Cordoba, Spain",2016,2017-02-01,3:00:00,Weather Station,Temperature,C,5.1,50
