Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Ne17,"Bardiya, Nepal",2017,2018-04-18,5:52:48,Weather Station,Day Length,Hours,12.8,166
Ne17,"Bardiya, Nepal",2017,2018-04-19,5:52:12,Weather Station,Day Length,Hours,12.82,167
Ne17,"Bardiya, Nepal",2017,2017-11-05,,Weather Station,Temperature,C,18,2
Ne17,"Bardiya, Nepal",2017,2017-11-06,,Weather Station,Temperature,C,16,3
Ne17,"Bardiya, Nepal",2017,2017-11-07,,Weather Station,Temperature,C,16,4
Ne17,"Bardiya, Nepal",2017,2017-11-08,,Weather Station,Temperature,C,18,5
Ne17,"Bardiya, Nepal",2017,2017-11-09,,Weather Station,Temperature,C,16,6
Ne17,"Bardiya, Nepal",2017,2017-11-10,,Weather Station,Temperature,C,17,7
Ne17,"Bardiya, Nepal",2017,2017-11-11,,Weather Station,Temperature,C,15.5,8
Ne17,"Bardiya, Nepal",2017,2017-11-12,,Weather Station,Temperature,C,16,9
Ne17,"Bardiya, Nepal",2017,2017-11-13,,Weather Station,Temperature,C,15,10
Ne17,"Bardiya, Nepal",2017,2017-11-14,,Weather Station,Temperature,C,17,11
Ne17,"Bardiya, Nepal",2017,2017-11-15,,Weather Station,Temperature,C,16,12
Ne17,"Bardiya, Nepal",2017,2017-11-16,,Weather Station,Temperature,C,17,13
Ne17,"Bardiya, Nepal",2017,2017-11-17,,Weather Station,Temperature,C,16.5,14
Ne17,"Bardiya, Nepal",2017,2017-11-18,,Weather Station,Temperature,C,17,15
Ne17,"Bardiya, Nepal",2017,2017-11-19,,Weather Station,Temperature,C,16,16
Ne17,"Bardiya, Nepal",2017,2017-11-20,,Weather Station,Temperature,C,16,17
Ne17,"Bardiya, Nepal",2017,2017-11-21,,Weather Station,Temperature,C,13,18
Ne17,"Bardiya, Nepal",2017,2017-11-22,,Weather Station,Temperature,C,12,19
Ne17,"Bardiya, Nepal",2017,2017-11-23,,Weather Station,Temperature,C,11,20
Ne17,"Bardiya, Nepal",2017,2017-11-24,,Weather Station,Temperature,C,11,21
Ne17,"Bardiya, Nepal",2017,2017-11-25,,Weather Station,Temperature,C,11,22
Ne17,"Bardiya, Nepal",2017,2017-11-26,,Weather Station,Temperature,C,12,23
Ne17,"Bardiya, Nepal",2017,2017-11-27,,Weather Station,Temperature,C,12,24
Ne17,"Bardiya, Nepal",2017,2017-11-28,,Weather Station,Temperature,C,12,25
Ne17,"Bardiya, Nepal",2017,2017-11-29,,Weather Station,Temperature,C,11,26
Ne17,"Bardiya, Nepal",2017,2017-11-30,,Weather Station,Temperature,C,11,27
Ne17,"Bardiya, Nepal",2017,2017-12-01,,Weather Station,Temperature,C,11,28
Ne17,"Bardiya, Nepal",2017,2017-12-02,,Weather Station,Temperature,C,11,29
Ne17,"Bardiya, Nepal",2017,2017-12-03,,Weather Station,Temperature,C,12,30
Ne17,"Bardiya, Nepal",2017,2017-12-04,,Weather Station,Temperature,C,13,31
Ne17,"Bardiya, Nepal",2017,2017-12-05,,Weather Station,Temperature,C,13,32
Ne17,"Bardiya, Nepal",2017,2017-12-06,,Weather Station,Temperature,C,14,33
Ne17,"Bardiya, Nepal",2017,2017-12-07,,Weather Station,Temperature,C,13,34
Ne17,"Bardiya, Nepal",2017,2017-12-08,,Weather Station,Temperature,C,13,35
Ne17,"Bardiya, Nepal",2017,2017-12-09,,Weather Station,Temperature,C,14,36
Ne17,"Bardiya, Nepal",2017,2017-12-10,,Weather Station,Temperature,C,14,37
Ne17,"Bardiya, Nepal",2017,2017-12-11,,Weather Station,Temperature,C,15,38
Ne17,"Bardiya, Nepal",2017,2017-12-12,,Weather Station,Temperature,C,14,39
Ne17,"Bardiya, Nepal",2017,2017-12-13,,Weather Station,Temperature,C,12,40
Ne17,"Bardiya, Nepal",2017,2017-12-14,,Weather Station,Temperature,C,15,41
Ne17,"Bardiya, Nepal",2017,2017-12-15,,Weather Station,Temperature,C,15,42
Ne17,"Bardiya, Nepal",2017,2017-12-16,,Weather Station,Temperature,C,12,43
Ne17,"Bardiya, Nepal",2017,2017-12-17,,Weather Station,Temperature,C,11,44
Ne17,"Bardiya, Nepal",2017,2017-12-18,,Weather Station,Temperature,C,10,45
Ne17,"Bardiya, Nepal",2017,2017-12-19,,Weather Station,Temperature,C,11,46
Ne17,"Bardiya, Nepal",2017,2017-12-20,,Weather Station,Temperature,C,12,47
Ne17,"Bardiya, Nepal",2017,2017-12-21,,Weather Station,Temperature,C,12,48
Ne17,"Bardiya, Nepal",2017,2017-12-22,,Weather Station,Temperature,C,12,49
Ne17,"Bardiya, Nepal",2017,2017-12-23,,Weather Station,Temperature,C,12,50
Ne17,"Bardiya, Nepal",2017,2017-12-24,,Weather Station,Temperature,C,13,51
Ne17,"Bardiya, Nepal",2017,2017-12-25,,Weather Station,Temperature,C,13,52
Ne17,"Bardiya, Nepal",2017,2017-12-26,,Weather Station,Temperature,C,12,53
Ne17,"Bardiya, Nepal",2017,2017-12-27,,Weather Station,Temperature,C,12,54
Ne17,"Bardiya, Nepal",2017,2017-12-28,,Weather Station,Temperature,C,12,55
Ne17,"Bardiya, Nepal",2017,2017-12-29,,Weather Station,Temperature,C,14,56
Ne17,"Bardiya, Nepal",2017,2017-12-30,,Weather Station,Temperature,C,13,57
Ne17,"Bardiya, Nepal",2017,2017-12-31,,Weather Station,Temperature,C,13,58
Ne17,"Bardiya, Nepal",2017,2018-01-01,,Weather Station,Temperature,C,13,59
Ne17,"Bardiya, Nepal",2017,2018-01-02,,Weather Station,Temperature,C,12,60
Ne17,"Bardiya, Nepal",2017,2018-01-03,,Weather Station,Temperature,C,13,61
Ne17,"Bardiya, Nepal",2017,2018-01-04,,Weather Station,Temperature,C,13,62
Ne17,"Bardiya, Nepal",2017,2018-01-05,,Weather Station,Temperature,C,12,63
Ne17,"Bardiya, Nepal",2017,2018-01-06,,Weather Station,Temperature,C,12,64
Ne17,"Bardiya, Nepal",2017,2018-01-07,,Weather Station,Temperature,C,12,65
Ne17,"Bardiya, Nepal",2017,2018-01-08,,Weather Station,Temperature,C,10,66
Ne17,"Bardiya, Nepal",2017,2018-01-09,,Weather Station,Temperature,C,11,67
Ne17,"Bardiya, Nepal",2017,2018-01-10,,Weather Station,Temperature,C,11,68
Ne17,"Bardiya, Nepal",2017,2018-01-11,,Weather Station,Temperature,C,10,69
Ne17,"Bardiya, Nepal",2017,2018-01-12,,Weather Station,Temperature,C,10,70
Ne17,"Bardiya, Nepal",2017,2018-01-13,,Weather Station,Temperature,C,11,71
Ne17,"Bardiya, Nepal",2017,2018-01-14,,Weather Station,Temperature,C,10,72
Ne17,"Bardiya, Nepal",2017,2018-01-15,,Weather Station,Temperature,C,10,73
Ne17,"Bardiya, Nepal",2017,2018-01-16,,Weather Station,Temperature,C,11,74
Ne17,"Bardiya, Nepal",2017,2018-01-17,,Weather Station,Temperature,C,12,75
Ne17,"Bardiya, Nepal",2017,2018-01-18,,Weather Station,Temperature,C,13,76
Ne17,"Bardiya, Nepal",2017,2018-01-19,,Weather Station,Temperature,C,11,77
Ne17,"Bardiya, Nepal",2017,2018-01-20,,Weather Station,Temperature,C,12,78
Ne17,"Bardiya, Nepal",2017,2018-01-21,,Weather Station,Temperature,C,11,79
Ne17,"Bardiya, Nepal",2017,2018-01-22,,Weather Station,Temperature,C,12,80
Ne17,"Bardiya, Nepal",2017,2018-01-23,,Weather Station,Temperature,C,11,81
Ne17,"Bardiya, Nepal",2017,2018-01-24,,Weather Station,Temperature,C,12,82
Ne17,"Bardiya, Nepal",2017,2018-01-25,,Weather Station,Temperature,C,12,83
Ne17,"Bardiya, Nepal",2017,2018-01-26,,Weather Station,Temperature,C,13,84
Ne17,"Bardiya, Nepal",2017,2018-01-27,,Weather Station,Temperature,C,11,85
Ne17,"Bardiya, Nepal",2017,2018-01-28,,Weather Station,Temperature,C,11,86
Ne17,"Bardiya, Nepal",2017,2018-01-29,,Weather Station,Temperature,C,11,87
Ne17,"Bardiya, Nepal",2017,2018-01-30,,Weather Station,Temperature,C,10,88
Ne17,"Bardiya, Nepal",2017,2018-01-31,,Weather Station,Temperature,C,12,89
Ne17,"Bardiya, Nepal",2017,2018-02-01,,Weather Station,Temperature,C,12,90
Ne17,"Bardiya, Nepal",2017,2018-02-02,,Weather Station,Temperature,C,13,91
Ne17,"Bardiya, Nepal",2017,2018-02-03,,Weather Station,Temperature,C,13,92
Ne17,"Bardiya, Nepal",2017,2018-02-04,,Weather Station,Temperature,C,12,93
Ne17,"Bardiya, Nepal",2017,2018-02-05,,Weather Station,Temperature,C,13,94
Ne17,"Bardiya, Nepal",2017,2018-02-06,,Weather Station,Temperature,C,12,95
Ne17,"Bardiya, Nepal",2017,2018-02-07,,Weather Station,Temperature,C,14,96
Ne17,"Bardiya, Nepal",2017,2018-02-08,,Weather Station,Temperature,C,11,97
Ne17,"Bardiya, Nepal",2017,2018-02-09,,Weather Station,Temperature,C,11,98
Ne17,"Bardiya, Nepal",2017,2018-02-10,,Weather Station,Temperature,C,11,99
Ne17,"Bardiya, Nepal",2017,2018-02-11,,Weather Station,Temperature,C,11,100
Ne17,"Bardiya, Nepal",2017,2018-02-12,,Weather Station,Temperature,C,13,101
Ne17,"Bardiya, Nepal",2017,2018-02-13,,Weather Station,Temperature,C,13,102
Ne17,"Bardiya, Nepal",2017,2018-02-14,,Weather Station,Temperature,C,13,103
Ne17,"Bardiya, Nepal",2017,2018-02-15,,Weather Station,Temperature,C,15,104
Ne17,"Bardiya, Nepal",2017,2018-02-16,,Weather Station,Temperature,C,14,105
