Entry,Name,Expt,DTF,DTM
22,CDC Ruby AGL,Us18,63.33333333,98
22,CDC Ruby AGL,In16,55.66666667,NA
22,CDC Ruby AGL,In17,64,NA
22,CDC Ruby AGL,Ba16,65.66666667,101.6666667
22,CDC Ruby AGL,Ba17,75.33333333,101
22,CDC Ruby AGL,Ne16,103.3333333,142
22,CDC Ruby AGL,Ne17,114,145.6666667
22,CDC Ruby AGL,Sp16,111,134.5
22,CDC Ruby AGL,Sp17,122.3333333,151.6666667
22,CDC Ruby AGL,Mo16,120.6666667,154.6666667
22,CDC Ruby AGL,Mo17,117,159.3333333
22,CDC Ruby AGL,It16,123,173
22,CDC Ruby AGL,It17,133,167.3333333
23,CDC SB-1 AGL,Ro16,44,96
23,CDC SB-1 AGL,Ro17,42.66666667,80
23,CDC SB-1 AGL,Su16,47,95
23,CDC SB-1 AGL,Su17,47.33333333,87
23,CDC SB-1 AGL,Su18,43,88
23,CDC SB-1 AGL,Us18,58.5,90.66666667
23,CDC SB-1 AGL,In16,61,NA
23,CDC SB-1 AGL,In17,68,NA
23,CDC SB-1 AGL,Ba16,77.33333333,NA
23,CDC SB-1 AGL,Ba17,80.66666667,105
23,CDC SB-1 AGL,Ne16,115.6666667,144
23,CDC SB-1 AGL,Ne17,121.6666667,154
23,CDC SB-1 AGL,Sp16,115.3333333,147.3333333
23,CDC SB-1 AGL,Sp17,129,154
23,CDC SB-1 AGL,Mo16,126,162.6666667
23,CDC SB-1 AGL,Mo17,119,166
23,CDC SB-1 AGL,It16,129.3333333,179
23,CDC SB-1 AGL,It17,139.6666667,173
24,CDC Sedley AGL,Ro16,50,98.66666667
24,CDC Sedley AGL,Ro17,49.33333333,NA
24,CDC Sedley AGL,Su16,54.33333333,102.3333333
24,CDC Sedley AGL,Su17,54.66666667,NA
24,CDC Sedley AGL,Su18,47,95.33333333
24,CDC Sedley AGL,Us18,60.5,97
24,CDC Sedley AGL,In16,68.5,NA
24,CDC Sedley AGL,In17,72,NA
24,CDC Sedley AGL,Ba16,85,NA
24,CDC Sedley AGL,Ba17,80.33333333,111.3333333
24,CDC Sedley AGL,Ne16,118.6666667,NA
24,CDC Sedley AGL,Ne17,121.6666667,150.3333333
24,CDC Sedley AGL,Sp16,114,150
24,CDC Sedley AGL,Sp17,123,151.6666667
24,CDC Sedley AGL,Mo16,119,158.6666667
24,CDC Sedley AGL,Mo17,118,159
24,CDC Sedley AGL,It16,128,181
24,CDC Sedley AGL,It17,137.6666667,171
25,CDC Vantage AGL,Ro16,47.66666667,96.66666667
25,CDC Vantage AGL,Ro17,47.66666667,82
25,CDC Vantage AGL,Su16,51.66666667,99.66666667
25,CDC Vantage AGL,Su17,53.66666667,91
25,CDC Vantage AGL,Su18,46.66666667,93
25,CDC Vantage AGL,Us18,61.66666667,94.5
25,CDC Vantage AGL,In16,59,NA
25,CDC Vantage AGL,In17,64,NA
25,CDC Vantage AGL,Ba16,73,106.6666667
25,CDC Vantage AGL,Ba17,78.33333333,106
25,CDC Vantage AGL,Ne16,106.6666667,144
25,CDC Vantage AGL,Ne17,122.3333333,159
25,CDC Vantage AGL,Sp16,110.6666667,147.3333333
25,CDC Vantage AGL,Sp17,122,154
25,CDC Vantage AGL,Mo16,127.6666667,155
25,CDC Vantage AGL,Mo17,118.5,161.3333333
25,CDC Vantage AGL,It16,124.6666667,175.6666667
25,CDC Vantage AGL,It17,134.6666667,173.6666667
26,CN 105604 AGL,Ro16,44,89.66666667
26,CN 105604 AGL,Ro17,44.33333333,75.66666667
26,CN 105604 AGL,Su16,47.66666667,94.66666667
26,CN 105604 AGL,Su17,45.66666667,83
26,CN 105604 AGL,Su18,43,80
26,CN 105604 AGL,Us18,53,85
26,CN 105604 AGL,In16,63,NA
26,CN 105604 AGL,In17,72.5,NA
26,CN 105604 AGL,Ba16,79.33333333,NA
26,CN 105604 AGL,Ba17,72.66666667,97
26,CN 105604 AGL,Ne16,99.66666667,129
26,CN 105604 AGL,Ne17,110.3333333,138.3333333
26,CN 105604 AGL,Sp16,107.3333333,129.3333333
26,CN 105604 AGL,Sp17,110,127.6666667
26,CN 105604 AGL,Mo16,108,147
26,CN 105604 AGL,Mo17,94.33333333,142.6666667
26,CN 105604 AGL,It16,120.6666667,163.6666667
26,CN 105604 AGL,It17,126.6666667,156
27,CN 105605 AGL,Ro16,43.33333333,94.33333333
27,CN 105605 AGL,Ro17,40.66666667,75.66666667
27,CN 105605 AGL,Su16,45.33333333,94.66666667
27,CN 105605 AGL,Su17,44,84.5
27,CN 105605 AGL,Su18,42,85.66666667
27,CN 105605 AGL,Us18,53,84
27,CN 105605 AGL,In16,63.66666667,NA
27,CN 105605 AGL,In17,63.66666667,102
27,CN 105605 AGL,Ba16,75.66666667,NA
27,CN 105605 AGL,Ba17,82,110.3333333
27,CN 105605 AGL,Ne16,106.3333333,145.3333333
27,CN 105605 AGL,Ne17,117,146.3333333
27,CN 105605 AGL,Sp16,118.6666667,150
27,CN 105605 AGL,Sp17,125.6666667,151.6666667
27,CN 105605 AGL,Mo16,126.3333333,156.6666667
27,CN 105605 AGL,Mo17,117.3333333,159
27,CN 105605 AGL,It16,131,177.6666667
27,CN 105605 AGL,It17,142,170
28,CN 105715 AGL,Ro16,43,89
28,CN 105715 AGL,Ro17,38.33333333,74.66666667
28,CN 105715 AGL,Su16,43.66666667,93.66666667
28,CN 105715 AGL,Su17,44,85
28,CN 105715 AGL,Su18,42.33333333,81
28,CN 105715 AGL,Us18,51,82
28,CN 105715 AGL,In16,73,NA
28,CN 105715 AGL,In17,69,NA
28,CN 105715 AGL,Ba16,82,NA
28,CN 105715 AGL,Ba17,80,NA
28,CN 105715 AGL,Ne16,115.5,143.6666667
28,CN 105715 AGL,Ne17,119.6666667,149
28,CN 105715 AGL,Sp16,112.6666667,140
28,CN 105715 AGL,Sp17,119.6666667,147
28,CN 105715 AGL,Mo16,121.3333333,154.3333333
28,CN 105715 AGL,Mo17,115.6666667,152
28,CN 105715 AGL,It16,131,174.6666667
28,CN 105715 AGL,It17,138.6666667,166.6666667
29,CN 105732 AGL,Ro16,48.33333333,98.66666667
29,CN 105732 AGL,Ro17,47.33333333,79.5
29,CN 105732 AGL,Su16,51,99.33333333
29,CN 105732 AGL,Su17,52.33333333,87
29,CN 105732 AGL,Su18,45.66666667,89
29,CN 105732 AGL,Us18,57,92
29,CN 105732 AGL,In16,83,NA
29,CN 105732 AGL,In17,60.33333333,NA
29,CN 105732 AGL,Ba16,73,109
29,CN 105732 AGL,Ba17,78.66666667,108
29,CN 105732 AGL,Ne16,107.6666667,140.3333333
29,CN 105732 AGL,Ne17,118.3333333,151.6666667
29,CN 105732 AGL,Sp16,115.6666667,148.3333333
29,CN 105732 AGL,Sp17,120.6666667,149.3333333
29,CN 105732 AGL,Mo16,128.3333333,153.6666667
29,CN 105732 AGL,Mo17,120.6666667,159
29,CN 105732 AGL,It16,134,180.6666667
29,CN 105732 AGL,It17,138.6666667,172.3333333
30,CN 105767 AGL,Ro16,43,92.66666667
30,CN 105767 AGL,Ro17,39,75.66666667
30,CN 105767 AGL,Su16,45.66666667,93.66666667
30,CN 105767 AGL,Su17,44.33333333,83
30,CN 105767 AGL,Su18,41.66666667,85
30,CN 105767 AGL,Us18,53.5,86.5
30,CN 105767 AGL,In16,54.5,112
30,CN 105767 AGL,In17,65,105.3333333
30,CN 105767 AGL,Ba16,72.66666667,107.6666667
30,CN 105767 AGL,Ba17,71.66666667,97
30,CN 105767 AGL,Ne16,102.3333333,136
30,CN 105767 AGL,Ne17,107,139
30,CN 105767 AGL,Sp16,111,134
30,CN 105767 AGL,Sp17,115,142.3333333
30,CN 105767 AGL,Mo16,119,151
30,CN 105767 AGL,Mo17,105.6666667,151.3333333
30,CN 105767 AGL,It16,125.3333333,171.6666667
30,CN 105767 AGL,It17,138.6666667,166.6666667
31,CN 105777 AGL,Ro16,43.33333333,91.66666667
31,CN 105777 AGL,Ro17,38.66666667,77
31,CN 105777 AGL,Su16,44.33333333,92.33333333
31,CN 105777 AGL,Su17,42.33333333,82.33333333
31,CN 105777 AGL,Su18,41.66666667,87.66666667
31,CN 105777 AGL,Us18,52.66666667,91
31,CN 105777 AGL,In16,61,NA
31,CN 105777 AGL,In17,62.66666667,104
31,CN 105777 AGL,Ba16,57.66666667,103
31,CN 105777 AGL,Ba17,61.66666667,97.33333333
