"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.17.1","144020","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Asylum claimants","","0","units","0","","1.1.4.1.17.3","5905","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Non-permanent residents with a work permit only","","0","units","0","","1.1.4.1.17.4","4060","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Non-permanent residents with a study permit only","","0","units","0","","1.1.4.1.17.5","8230","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Non-permanent residents with work and study permits","","0","units","0","","1.1.4.1.17.6","3700","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Other non-permanent resident types","","0","units","0","","1.1.4.1.17.7","1895","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Americas","Not a non-permanent resident","","0","units","0","","1.1.4.1.17.8","120230","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.77.1","96290","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Asylum claimants","","0","units","0","","1.1.4.1.77.3","875","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Non-permanent residents with a work permit only","","0","units","0","","1.1.4.1.77.4","5765","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Non-permanent residents with a study permit only","","0","units","0","","1.1.4.1.77.5","7905","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Non-permanent residents with work and study permits","","0","units","0","","1.1.4.1.77.6","4170","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Other non-permanent resident types","","0","units","0","","1.1.4.1.77.7","1505","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Europe","Not a non-permanent resident","","0","units","0","","1.1.4.1.77.8","76075","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.135.1","115240","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Asylum claimants","","0","units","0","","1.1.4.1.135.3","5495","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Non-permanent residents with a work permit only","","0","units","0","","1.1.4.1.135.4","3960","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Non-permanent residents with a study permit only","","0","units","0","","1.1.4.1.135.5","13280","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Non-permanent residents with work and study permits","","0","units","0","","1.1.4.1.135.6","7550","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Other non-permanent resident types","","0","units","0","","1.1.4.1.135.7","1395","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Africa","Not a non-permanent resident","","0","units","0","","1.1.4.1.135.8","83555","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.199.1","574875","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Asylum claimants","","0","units","0","","1.1.4.1.199.3","6650","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Non-permanent residents with a work permit only","","0","units","0","","1.1.4.1.199.4","51170","","","","0"
