"REF_DATE","GEO","DGUID","Principal trading partner","North American Product Classification System (NAPCS)","Trade","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","202049.0","","","","1"
"2005","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","244800.0","","","","1"
"2006","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","577183.7","","","","1"
"2007","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","682306.6","","","","1"
"2008","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","1720050.6","","","","1"
"2009","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","1158800.2","","","","1"
"2010","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","1100768.4","","","","1"
"2011","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","575594.3","","","","1"
"2012","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","660808.9","","","","1"
"2013","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","811178.9","","","","1"
"2014","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","1376605.0","","","","1"
"2015","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","1504621.9","","","","1"
