"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","55869","","","","0"
"2020","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","60023","","","","0"
"2021","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","82116","","","","0"
"2022","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","72647","","","","0"
"2023","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","54616","","","","0"
"2024","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","54508","","","","0"
"2025","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","52274","","","","0"
"1955","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","39273","","","","0"
"1956","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","36691","","","","0"
"1957","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","39385","","","","0"
"1958","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","60124","","","","0"
"1959","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","49167","","","","0"
"1960","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","41687","","","","0"
"1961","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","49147","","","","0"
"1962","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","55652","","","","0"
"1963","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","71466","","","","0"
"1964","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","88579","","","","0"
"1965","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","91124","","","","0"
"1966","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","63832","","","","0"
"1967","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","91589","","","","0"
"1968","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","121539","","","","0"
"1969","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","132011","","","","0"
"1970","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","119779","","","","0"
"1971","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","135597","","","","0"
"1972","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","134344","","","","0"
"1973","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","136977","","","","0"
"1974","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","99980","","","","0"
"1975","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","107527","","","","0"
"1976","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","138890","","","","0"
"1977","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","137321","","","","0"
"1978","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","117638","","","","0"
"1979","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","87932","","","","0"
"1980","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","70880","","","","0"
"1981","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","88902","","","","0"
"1982","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","71403","","","","0"
"1983","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","60260","","","","0"
"1984","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","51249","","","","0"
"1985","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","67202","","","","0"
"1986","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","79777","","","","0"
"1987","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","105847","","","","0"
"1988","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","94097","","","","0"
"1989","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","89414","","","","0"
"1990","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","79315","","","","0"
"1991","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","69630","","","","0"
"1992","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","75420","","","","0"
"1993","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","70344","","","","0"
"1994","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","64548","","","","0"
"1995","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","46508","","","","0"
"1996","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","46717","","","","0"
"1997","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","53854","","","","0"
"1998","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","51008","","","","0"
"1999","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","57778","","","","0"
"2000","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","59469","","","","0"
"2001","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","66707","","","","0"
"2002","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","79660","","","","0"
"2003","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","95199","","","","0"
"2004","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","104260","","","","0"
"2005","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","105018","","","","0"
"2006","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","106082","","","","0"
"2007","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","109426","","","","0"
"2008","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","117854","","","","0"
"2009","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","73422","","","","0"
"2010","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","97376","","","","0"
"2011","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","111558","","","","0"
"2012","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","131170","","","","0"
"2013","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","111030","","","","0"
"2014","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","113814","","","","0"
