"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","52700","A","","","0"
"2001","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","53800","A","","","0"
"2002","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","54200","A","","","0"
"2003","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","54400","A","","","0"
"2004","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","54200","A","","","0"
"2005","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","54500","A","","","0"
"2006","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","56600","A","","","0"
"2007","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","56500","A","","","0"
"2008","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","55900","A","","","0"
"2009","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","56900","A","","","0"
"2010","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","57200","A","","","0"
"2011","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","57500","A","","","0"
"2012","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","58800","A","","","0"
"2013","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","59100","A","","","0"
"2014","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","59300","A","","","0"
"2015","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","59800","A","","","0"
"2016","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","59700","A","","","0"
