"REF_DATE","GEO","DGUID","Family type","Age of older adult","Family income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","28600","","","","0"
"2004","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","29500","","","","0"
"2005","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","30000","","","","0"
"2006","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","33000","","","","0"
"2007","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","34540","","","","0"
"2008","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","35990","","","","0"
"2009","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","36100","","","","0"
"2010","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","37050","","","","0"
"2011","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","37900","","","","0"
"2012","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","39350","","","","0"
"2013","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","40380","","","","0"
"2014","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","41780","","","","0"
"2015","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","43630","","","","0"
"2016","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","45220","","","","0"
"2017","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","46140","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","48750","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","50800","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","57060","","","","0"
"2021","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","56750","","","","0"
"2022","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","58850","","","","0"
"2000","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","12400","","","","0"
"2001","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","12800","","","","0"
"2002","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","12800","","","","0"
"2003","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","12900","","","","0"
"2004","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","13100","","","","0"
"2005","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","13500","","","","0"
"2006","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","14800","","","","0"
"2007","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","15300","","","","0"
"2008","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","15820","","","","0"
"2009","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","15940","","","","0"
"2010","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","16790","","","","0"
"2011","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","16640","","","","0"
"2012","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","17130","","","","0"
"2013","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","17320","","","","0"
"2014","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","17800","","","","0"
"2015","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","18880","","","","0"
"2016","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","19940","","","","0"
"2017","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","20970","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","0 to 24 years","Median total income","Dollars","81","units","0","v21246970","1.2.2.23","21820","","","","0"
