"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Muslim","","0","units","0","","1.2.3.1.21","227475","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Sikh","","0","units","0","","1.2.3.1.22","61840","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.2.3.1.23","11535","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.2.3.1.24","12455","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","No religion and secular perspectives","","0","units","0","","1.2.3.1.25","1230605","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Total - Religion","","0","units","0","","1.2.3.2.1","8.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Buddhist","","0","units","0","","1.2.3.2.2","0.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Christian","","0","units","0","","1.2.3.2.3","3.5","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Hindu","","0","units","0","","1.2.3.2.19","0.2","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Jewish","","0","units","0","","1.2.3.2.20","0.1","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Muslim","","0","units","0","","1.2.3.2.21","0.6","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Sikh","","0","units","0","","1.2.3.2.22","0.2","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.2.3.2.23","0.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.2.3.2.24","0.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.2.3.2.25","3.4","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Total - Religion","","0","units","0","","1.3.1.1.1","30335915","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Buddhist","","0","units","0","","1.3.1.1.2","325370","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Christian","","0","units","0","","1.3.1.1.3","16802840","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Hindu","","0","units","0","","1.3.1.1.19","685380","","","","0"
